Step,Loss,Epoch
50,0.5259,0.004173622704507512
100,0.4261,0.008347245409015025
150,0.4232,0.012520868113522538
200,0.4118,0.01669449081803005
250,0.393,0.020868113522537562
300,0.3844,0.025041736227045076
350,0.3701,0.02921535893155259
400,0.3781,0.0333889816360601
450,0.3711,0.037562604340567615
500,0.3669,0.041736227045075125
550,0.3815,0.045909849749582635
600,0.3453,0.05008347245409015
650,0.3506,0.05425709515859766
700,0.3641,0.05843071786310518
750,0.3585,0.06260434056761269
800,0.3415,0.0667779632721202
850,0.3455,0.0709515859766277
900,0.3245,0.07512520868113523
950,0.3517,0.07929883138564274
1000,0.3381,0.08347245409015025
1050,0.338,0.08764607679465776
1100,0.3629,0.09181969949916527
1150,0.3374,0.09599332220367279
1200,0.3489,0.1001669449081803
1250,0.357,0.10434056761268781
1300,0.3378,0.10851419031719532
1350,0.3433,0.11268781302170283
1400,0.3511,0.11686143572621036
1450,0.328,0.12103505843071787
1500,0.3595,0.12520868113522537
1550,0.3309,0.1293823038397329
1600,0.3268,0.1335559265442404
1650,0.3363,0.13772954924874792
1700,0.3397,0.1419031719532554
1750,0.3393,0.14607679465776294
1800,0.3327,0.15025041736227046
1850,0.3328,0.15442404006677796
1900,0.3299,0.15859766277128548
1950,0.3449,0.16277128547579298
2000,0.3097,0.1669449081803005
2050,0.3118,0.17111853088480802
2100,0.322,0.17529215358931552
2150,0.3429,0.17946577629382304
2200,0.3323,0.18363939899833054
2250,0.3194,0.18781302170283806
2300,0.3151,0.19198664440734559
2350,0.3245,0.19616026711185308
2400,0.3381,0.2003338898163606
2450,0.3268,0.2045075125208681
2500,0.3336,0.20868113522537562
2550,0.3113,0.21285475792988315
2600,0.3473,0.21702838063439064
2650,0.3122,0.22120200333889817
2700,0.3268,0.22537562604340566
2750,0.3141,0.2295492487479132
2800,0.3381,0.2337228714524207
2850,0.3204,0.2378964941569282
2900,0.3217,0.24207011686143573
2950,0.3145,0.24624373956594323
3000,0.3136,0.25041736227045075
3050,0.311,0.25459098497495825
3100,0.3238,0.2587646076794658
3150,0.3152,0.2629382303839733
3200,0.3376,0.2671118530884808
3250,0.316,0.27128547579298834
3300,0.3162,0.27545909849749584
3350,0.3122,0.27963272120200333
3400,0.3232,0.2838063439065108
3450,0.3051,0.2879799666110184
3500,0.3238,0.2921535893155259
3550,0.311,0.29632721202003337
3600,0.3221,0.3005008347245409
3650,0.3043,0.3046744574290484
3700,0.3235,0.3088480801335559
3750,0.3229,0.31302170283806346
3800,0.332,0.31719532554257096
3850,0.3191,0.32136894824707846
3900,0.306,0.32554257095158595
3950,0.3215,0.3297161936560935
4000,0.2953,0.333889816360601
4050,0.3232,0.3380634390651085
4100,0.317,0.34223706176961605
4150,0.3207,0.34641068447412354
4200,0.3342,0.35058430717863104
4250,0.317,0.3547579298831386
4300,0.3126,0.3589315525876461
4350,0.3052,0.3631051752921536
4400,0.3055,0.3672787979966611
4450,0.3213,0.37145242070116863
4500,0.3027,0.3756260434056761
4550,0.3053,0.3797996661101836
4600,0.3254,0.38397328881469117
4650,0.3088,0.38814691151919867
4700,0.2979,0.39232053422370616
4750,0.3044,0.3964941569282137
4800,0.3168,0.4006677796327212
4850,0.3107,0.4048414023372287
4900,0.2903,0.4090150250417362
4950,0.3183,0.41318864774624375
5000,0.3059,0.41736227045075125
5050,0.2997,0.42153589315525875
5100,0.297,0.4257095158597663
5150,0.3034,0.4298831385642738
5200,0.3087,0.4340567612687813
5250,0.3094,0.43823038397328884
5300,0.3151,0.44240400667779634
5350,0.3098,0.44657762938230383
5400,0.3112,0.4507512520868113
5450,0.3038,0.4549248747913189
5500,0.2973,0.4590984974958264
5550,0.3072,0.46327212020033387
5600,0.2946,0.4674457429048414
5650,0.3294,0.4716193656093489
5700,0.3128,0.4757929883138564
5750,0.3142,0.47996661101836396
5800,0.3036,0.48414023372287146
5850,0.3067,0.48831385642737896
5900,0.3002,0.49248747913188645
5950,0.3022,0.496661101836394
6000,0.2923,0.5008347245409015
6050,0.3071,0.505008347245409
6100,0.3117,0.5091819699499165
6150,0.2993,0.513355592654424
6200,0.2915,0.5175292153589316
6250,0.3036,0.5217028380634391
6300,0.2909,0.5258764607679466
6350,0.3098,0.5300500834724541
6400,0.3107,0.5342237061769616
6450,0.2901,0.5383973288814691
6500,0.3066,0.5425709515859767
6550,0.3003,0.5467445742904842
6600,0.2976,0.5509181969949917
6650,0.3002,0.5550918196994992
6700,0.3103,0.5592654424040067
6750,0.3,0.5634390651085142
6800,0.3003,0.5676126878130217
6850,0.2931,0.5717863105175293
6900,0.31,0.5759599332220368
6950,0.3051,0.5801335559265443
7000,0.2851,0.5843071786310517
7050,0.3021,0.5884808013355592
7100,0.2978,0.5926544240400667
7150,0.3105,0.5968280467445742
7200,0.3011,0.6010016694490818
7250,0.3121,0.6051752921535893
7300,0.3097,0.6093489148580968
7350,0.301,0.6135225375626043
7400,0.2953,0.6176961602671118
7450,0.3167,0.6218697829716193
7500,0.2884,0.6260434056761269
7550,0.3059,0.6302170283806344
7600,0.2775,0.6343906510851419
7650,0.2898,0.6385642737896494
7700,0.3186,0.6427378964941569
7750,0.296,0.6469115191986644
7800,0.2854,0.6510851419031719
7850,0.3123,0.6552587646076795
7900,0.2938,0.659432387312187
7950,0.3047,0.6636060100166945
8000,0.3037,0.667779632721202
8050,0.3012,0.6719532554257095
8100,0.3013,0.676126878130217
8150,0.2937,0.6803005008347245
8200,0.2809,0.6844741235392321
8250,0.3046,0.6886477462437396
8300,0.2927,0.6928213689482471
8350,0.3185,0.6969949916527546
8400,0.2863,0.7011686143572621
8450,0.279,0.7053422370617696
8500,0.3004,0.7095158597662772
8550,0.3065,0.7136894824707847
8600,0.3019,0.7178631051752922
8650,0.2913,0.7220367278797997
8700,0.2967,0.7262103505843072
8750,0.2909,0.7303839732888147
8800,0.2925,0.7345575959933222
8850,0.3084,0.7387312186978298
8900,0.2958,0.7429048414023373
8950,0.3095,0.7470784641068448
9000,0.2784,0.7512520868113522
9050,0.29,0.7554257095158597
9100,0.2986,0.7595993322203672
9150,0.2768,0.7637729549248747
9200,0.3125,0.7679465776293823
9250,0.2956,0.7721202003338898
9300,0.2918,0.7762938230383973
9350,0.2781,0.7804674457429048
9400,0.2947,0.7846410684474123
9450,0.2971,0.7888146911519198
9500,0.3073,0.7929883138564274
9550,0.2798,0.7971619365609349
9600,0.2959,0.8013355592654424
9650,0.3149,0.8055091819699499
9700,0.3038,0.8096828046744574
